stop_id,station_id
12253,vic:rail:RMD
12254,vic:rail:RMD
12255,vic:rail:RMD
12256,vic:rail:RMD
12257,vic:rail:RMD
12258,vic:rail:RMD
12259,vic:rail:RMD
12260,vic:rail:RMD
12261,vic:rail:RMD
12262,vic:rail:RMD
14251,vic:rail:CFD
14252,vic:rail:CFD
14253,vic:rail:CFD
14254,vic:rail:CFD
15355,vic:rail:WGS
15356,vic:rail:WGS
15357,vic:rail:WGS
15527,vic:rail:CGB
15528,vic:rail:CGB
15543,vic:rail:ESD
15544,vic:rail:ESD
15545,vic:rail:ESD
19980,vic:rail:MEL
19981,vic:rail:RBK
19982,vic:rail:DEK
19998,vic:rail:SUY
20020,vic:rail:ARR
20029,vic:rail:CGB
20043,vic:rail:SSS
20307,vic:rail:DBK
22238,vic:rail:FSS
22239,vic:rail:NME
22240,vic:rail:FSY
22241,vic:rail:SUN
22244,vic:rail:WGS
22247,vic:rail:RMD
22248,vic:rail:CFD
22249,vic:rail:CLA
22250,vic:rail:DNG
22251,vic:rail:BEW
22252,vic:rail:PKM
22253,vic:rail:ESD
22254,vic:rail:BMS
26135,vic:rail:CFD
26144,vic:rail:CGB
26164,vic:rail:ESD
26263,vic:rail:RMD
26290,vic:rail:SUN
26304,vic:rail:WGS
26530,vic:rail:SUN
26531,vic:rail:SUN
26532,vic:rail:SUN
26533,vic:rail:SUN
47647,vic:rail:WVL
47648,vic:rail:TNT
48804,vic:rail:TLN
52011,vic:rail:RVH
vic:rail:ARR,vic:rail:ARR
vic:rail:BEW,vic:rail:BEW
vic:rail:BMS,vic:rail:BMS
vic:rail:CFD,vic:rail:CFD
vic:rail:CFD_ConX,vic:rail:CFD
vic:rail:CGB,vic:rail:CGB
vic:rail:CGB_ConX,vic:rail:CGB
vic:rail:CLA,vic:rail:CLA
vic:rail:DBK,vic:rail:DBK
vic:rail:DEK,vic:rail:DEK
vic:rail:DNG,vic:rail:DNG
vic:rail:ESD,vic:rail:ESD
vic:rail:ESD_ConX,vic:rail:ESD
vic:rail:FSS,vic:rail:FSS
vic:rail:FSY,vic:rail:FSY
vic:rail:MEL,vic:rail:MEL
vic:rail:NME,vic:rail:NME
vic:rail:PKM,vic:rail:PKM
vic:rail:RBK,vic:rail:RBK
vic:rail:RMD,vic:rail:RMD
vic:rail:RMD_ConX,vic:rail:RMD
vic:rail:RVH,vic:rail:RVH
vic:rail:SSS,vic:rail:SSS
vic:rail:SUN,vic:rail:SUN
vic:rail:SUY,vic:rail:SUY
vic:rail:TLN,vic:rail:TLN
vic:rail:TNT,vic:rail:TNT
vic:rail:WGS,vic:rail:WGS
vic:rail:WGS_ConX,vic:rail:WGS
vic:rail:WVL,vic:rail:WVL
10117,vic:rail:JOR
10920,vic:rail:FGS
10921,vic:rail:FGS
10922,vic:rail:MCE
10923,vic:rail:MCE
10924,vic:rail:PAR
11119,vic:rail:BEG
11120,vic:rail:BEG
11121,vic:rail:TCM
11122,vic:rail:UPW
11123,vic:rail:UPW
11197,vic:rail:ALM
11198,vic:rail:ASH
11199,vic:rail:BWD
11200,vic:rail:BWD
11201,vic:rail:HWL
11202,vic:rail:HWL
11203,vic:rail:WSN
11204,vic:rail:WSN
11205,vic:rail:RIV
11206,vic:rail:RIV
11207,vic:rail:CAM
11208,vic:rail:CAM
11209,vic:rail:CAM
11210,vic:rail:PAR
11212,vic:rail:FSS
11213,vic:rail:FSS
11214,vic:rail:FSS
11215,vic:rail:FSS
11216,vic:rail:FSS
11217,vic:rail:FSS
11218,vic:rail:FSS
11219,vic:rail:JOR
11220,vic:rail:FKN
11221,vic:rail:FKN
11222,vic:rail:KAN
11223,vic:rail:KAN
11224,vic:rail:SEA
11225,vic:rail:SEA
11226,vic:rail:CAR
11227,vic:rail:CAR
11228,vic:rail:BON
11229,vic:rail:BON
11230,vic:rail:CSA
11231,vic:rail:CSA
11232,vic:rail:EDI
11233,vic:rail:EDI
11234,vic:rail:ASP
11235,vic:rail:ASP
11236,vic:rail:MOR
11237,vic:rail:MOR
11238,vic:rail:PKD
11239,vic:rail:PKD
11240,vic:rail:MEN
11241,vic:rail:MEN
11242,vic:rail:CTM
11243,vic:rail:CTM
11244,vic:rail:CTM
11245,vic:rail:UFG
11246,vic:rail:UFG
11247,vic:rail:FTG
11248,vic:rail:FTG
11249,vic:rail:BOR
11409,vic:rail:BOR
11410,vic:rail:BAY
11411,vic:rail:BAY
11412,vic:rail:HMT
11413,vic:rail:HMT
11471,vic:rail:HIG
12158,vic:rail:GWY
12159,vic:rail:GWY
12160,vic:rail:SYN
12161,vic:rail:SYN
12162,vic:rail:MWY
12163,vic:rail:MWY
12164,vic:rail:LIL
12165,vic:rail:LIL
12166,vic:rail:MLK
12167,vic:rail:MLK
12168,vic:rail:CDN
12169,vic:rail:CDN
12170,vic:rail:RWE
12171,vic:rail:RWE
12172,vic:rail:PKM
12173,vic:rail:PKM
12174,vic:rail:OFC
12175,vic:rail:OFC
12176,vic:rail:BFD
12177,vic:rail:BFD
12178,vic:rail:BEW
12179,vic:rail:BEW
12180,vic:rail:NWA
12181,vic:rail:NWA
12182,vic:rail:HLM
12183,vic:rail:HLM
12184,vic:rail:CBE
12185,vic:rail:CBE
12186,vic:rail:MPK
12187,vic:rail:DNG
12188,vic:rail:DNG
12189,vic:rail:DNG
12190,vic:rail:YMN
12191,vic:rail:YMN
12192,vic:rail:NPK
12193,vic:rail:NPK
12194,vic:rail:SNP
12195,vic:rail:FGS
12196,vic:rail:FGS
12197,vic:rail:MCE
12198,vic:rail:MCE
12199,vic:rail:PAR
12200,vic:rail:PAR
12201,vic:rail:FSS
12202,vic:rail:FSS
12203,vic:rail:FSS
12204,vic:rail:FSS
12205,vic:rail:FSS
12206,vic:rail:ECM
12207,vic:rail:ECM
12208,vic:rail:ECM
12209,vic:rail:CBY
12210,vic:rail:CBY
12211,vic:rail:CBY
12212,vic:rail:CHM
12213,vic:rail:CHM
12214,vic:rail:CHM
12221,vic:rail:BOX
12222,vic:rail:BOX
12223,vic:rail:BOX
12224,vic:rail:LAB
12225,vic:rail:LAB
12226,vic:rail:BBN
12227,vic:rail:BBN
12228,vic:rail:BBN
12229,vic:rail:NWG
12230,vic:rail:NWG
12231,vic:rail:MCH
12232,vic:rail:MCH
12233,vic:rail:HTD
12234,vic:rail:HTD
12235,vic:rail:RWD
12236,vic:rail:RWD
12237,vic:rail:RWD
12238,vic:rail:AUB
12239,vic:rail:AUB
12240,vic:rail:AUB
12241,vic:rail:GFE
12242,vic:rail:GFE
12243,vic:rail:GFE
12244,vic:rail:HAW
12245,vic:rail:HAW
12246,vic:rail:HAW
12247,vic:rail:BLY
12248,vic:rail:BLY
12249,vic:rail:BLY
12250,vic:rail:BLY
12251,vic:rail:ERM
12252,vic:rail:ERM
12263,vic:rail:HEY
12264,vic:rail:HEY
12265,vic:rail:KYG
12266,vic:rail:KYG
12267,vic:rail:TGA
12268,vic:rail:TGA
12269,vic:rail:GAR
13713,vic:rail:SNP
13714,vic:rail:SPG
13715,vic:rail:SPG
13716,vic:rail:WTL
13717,vic:rail:WTL
13718,vic:rail:CLA
13719,vic:rail:CLA
13720,vic:rail:HUN
13721,vic:rail:HUN
13722,vic:rail:OAK
13723,vic:rail:OAK
13725,vic:rail:HUG
13726,vic:rail:HUG
13727,vic:rail:MRB
13728,vic:rail:MRB
13729,vic:rail:CNE
13730,vic:rail:CNE
13731,vic:rail:WER
13732,vic:rail:WER
13733,vic:rail:WER
13734,vic:rail:HCG
13735,vic:rail:HCG
13736,vic:rail:LAV
13737,vic:rail:LAV
13738,vic:rail:ACF
13739,vic:rail:ACF
13740,vic:rail:WTO
13741,vic:rail:WTO
13742,vic:rail:ALT
13743,vic:rail:SHE
13744,vic:rail:WTG
13745,vic:rail:WTG
13746,vic:rail:DEN
13747,vic:rail:DEN
13748,vic:rail:FFD
13749,vic:rail:FFD
13750,vic:rail:ALP
13751,vic:rail:ALP
13752,vic:rail:DBN
13753,vic:rail:DBN
13754,vic:rail:IVA
13755,vic:rail:IVA
13756,vic:rail:EAG
13757,vic:rail:EAG
13758,vic:rail:HDB
13759,vic:rail:HDB
13760,vic:rail:ROS
14232,vic:rail:HIG
14233,vic:rail:MRN
14234,vic:rail:MRN
14235,vic:rail:MRN
14236,vic:rail:PAT
14237,vic:rail:PAT
14238,vic:rail:PAT
14239,vic:rail:BEN
14240,vic:rail:BEN
14241,vic:rail:BEN
14242,vic:rail:MCK
14243,vic:rail:MCK
14244,vic:rail:MCK
14245,vic:rail:OMD
14246,vic:rail:OMD
14247,vic:rail:OMD
14248,vic:rail:GHY
14249,vic:rail:GHY
14250,vic:rail:GHY
14255,vic:rail:MAL
14256,vic:rail:MAL
14257,vic:rail:MAL
14258,vic:rail:MAL
